evid;evid_inst;sta;phase;picktime;baz;takeoff;hypodist
1;969;ACOM;P;2019-06-14T13:57:31.910000Z;247.27;100.42;44.248
1;969;AGOR;P;2019-06-14T13:57:36.790000Z;79.91;95.97;74.352
1;969;APGO;P;2019-06-14T13:57:33.810000Z;60.61;98.09;56.227
1;969;BAD;P;2019-06-14T13:57:28.730000Z;313.03;107.06;27.580
1;969;BAD;S;2019-06-14T13:57:32.610000Z;313.03;107.06;27.580
1;969;BOO;P;2019-06-14T13:57:26.410000Z;316.28;124.80;14.244
1;969;BOO;S;2019-06-14T13:57:28.240000Z;316.28;124.80;14.244
1;969;BUA;P;2019-06-14T13:57:28.170000Z;333.41;110.00;23.674
1;969;BUA;S;2019-06-14T13:57:31.260000Z;333.41;110.00;23.674
1;969;CAE;P;2019-06-14T13:57:34.570000Z;44.74;97.38;61.231
1;969;CIMO;P;2019-06-14T13:57:31.270000Z;77.34;100.49;43.993
1;969;CLUD;P;2019-06-14T13:57:26.210000Z;128.39;126.53;13.662
1;969;CLUD;S;2019-06-14T13:57:28.330000Z;128.39;126.53;13.662
1;969;COLI;P;2019-06-14T13:57:31.350000Z;314.83;100.89;42.399
1;969;CSM;P;2019-06-14T13:57:29.210000Z;116.22;105.42;30.411
1;969;CSO;P;2019-06-14T13:57:33.150000Z;74.91;98.44;54.023
1;969;DRE;P;2019-06-14T13:57:33.580000Z;296.42;98.04;56.555
1;969;FUSE;P;2019-06-14T13:57:24.830000Z;196.10;165.10;8.413
1;969;FVI;P;2019-06-14T13:57:28.850000Z;143.75;106.26;28.859
1;969;FVI;S;2019-06-14T13:57:33.010000Z;143.75;106.26;28.859
1;969;GEPF;P;2019-06-14T13:57:27.270000Z;320.16;114.96;19.233
1;969;GEPF;S;2019-06-14T13:57:29.960000Z;320.16;114.96;19.233
1;969;LSR;P;2019-06-14T13:57:31.550000Z;258.03;100.82;42.731
1;969;MLN;P;2019-06-14T13:57:30.840000Z;46.67;101.34;40.772
1;969;MLN;S;2019-06-14T13:57:36.860000Z;46.67;101.34;40.772
1;969;MPRI;P;2019-06-14T13:57:27.260000Z;1.43;115.23;19.026
1;969;MPRI;S;2019-06-14T13:57:29.830000Z;1.43;115.23;19.026
1;969;MTLO;P;2019-06-14T13:57:40.600000Z;46.59;94.48;95.023
1;969;PLRO;P;2019-06-14T13:57:27.550000Z;214.91;111.28;22.338
1;969;PLRO;S;2019-06-14T13:57:31.020000Z;214.91;111.28;22.338
1;969;POLC;P;2019-06-14T13:57:33.920000Z;42.67;98.03;56.513
1;969;PRED;P;2019-06-14T13:57:31.890000Z;263.39;100.24;45.004
1;969;PTCC;P;2019-06-14T13:57:28.980000Z;267.38;106.25;28.936
1;969;PTCC;S;2019-06-14T13:57:33.030000Z;267.38;106.25;28.936
1;969;PURA;P;2019-06-14T13:57:27.650000Z;99.79;112.49;21.239
1;969;SABO;P;2019-06-14T13:57:35.500000Z;312.76;96.62;67.577
1;969;STAL;P;2019-06-14T13:57:28.560000Z;55.26;106.99;27.698
1;969;VARN;P;2019-06-14T13:57:38.130000Z;56.58;95.32;82.271
1;969;VINO;P;2019-06-14T13:57:28.810000Z;305.09;106.65;28.238
1;969;VINO;S;2019-06-14T13:57:32.750000Z;305.09;106.65;28.238
1;969;ZOU2;P;2019-06-14T13:57:27.510000Z;175.05;114.03;19.911
1;969;ZOU2;S;2019-06-14T13:57:30.060000Z;175.05;114.03;19.911
2;982;ACOM;P;2019-06-14T16:13:18.500000Z;246.93;98.37;44.603
2;982;ACOM;S;2019-06-14T16:13:24.260000Z;246.93;98.37;44.603
2;982;AGOR;P;2019-06-14T16:13:23.620000Z;80.22;94.85;73.673
2;982;APGO;P;2019-06-14T16:13:20.050000Z;60.81;96.64;55.400
2;982;BAD;P;2019-06-14T16:13:15.130000Z;311.58;104.01;27.196
2;982;BAD;S;2019-06-14T16:13:18.940000Z;311.58;104.01;27.196
2;982;BOO;P;2019-06-14T16:13:12.860000Z;313.03;119.56;13.439
2;982;BOO;S;2019-06-14T16:13:14.740000Z;313.03;119.56;13.439
2;982;BUA;P;2019-06-14T16:13:14.610000Z;331.78;106.67;23.000
2;982;BUA;S;2019-06-14T16:13:17.840000Z;331.78;106.67;23.000
2;982;CAE;P;2019-06-14T16:13:21.120000Z;44.75;96.05;60.390
2;982;CIMO;P;2019-06-14T16:13:17.850000Z;77.84;98.67;43.196
2;982;CIMO;S;2019-06-14T16:13:23.420000Z;77.84;98.67;43.196
2;982;CLUD;P;2019-06-14T16:13:12.730000Z;131.86;121.23;12.789
2;982;CLUD;S;2019-06-14T16:13:14.350000Z;131.86;121.23;12.789
2;982;COLI;P;2019-06-14T16:13:17.820000Z;313.92;98.88;42.136
2;982;COLI;S;2019-06-14T16:13:23.490000Z;313.92;98.88;42.136
2;982;CSM;P;2019-06-14T16:13:15.770000Z;117.47;102.73;29.856
2;982;CSM;S;2019-06-14T16:13:19.810000Z;117.47;102.73;29.856
2;982;CSO;P;2019-06-14T16:13:19.520000Z;75.29;96.94;53.257
2;982;DRE;P;2019-06-14T16:13:19.920000Z;295.78;96.49;56.567
2;982;FUSE;P;2019-06-14T16:13:11.360000Z;202.55;157.34;7.185
2;982;FVI;P;2019-06-14T16:13:15.390000Z;145.10;103.29;28.592
2;982;FVI;S;2019-06-14T16:13:19.110000Z;145.10;103.29;28.592
2;982;GEPF;P;2019-06-14T16:13:13.730000Z;317.98;110.84;18.594
2;982;GEPF;S;2019-06-14T16:13:16.380000Z;317.98;110.84;18.594
2;982;LSR;P;2019-06-14T16:13:18.260000Z;257.54;98.71;43.019
2;982;LSR;S;2019-06-14T16:13:23.630000Z;257.54;98.71;43.019
2;982;MLN;P;2019-06-14T16:13:17.670000Z;46.72;99.42;39.845
2;982;MLN;S;2019-06-14T16:13:22.810000Z;46.72;99.42;39.845
2;982;MPRI;P;2019-06-14T16:13:13.740000Z;359.89;111.56;17.985
2;982;MPRI;S;2019-06-14T16:13:16.240000Z;359.89;111.56;17.985
2;982;PLRO;P;2019-06-14T16:13:14.530000Z;215.19;107.09;22.463
2;982;PLRO;S;2019-06-14T16:13:17.560000Z;215.19;107.09;22.463
2;982;PRED;P;2019-06-14T16:13:18.360000Z;262.85;98.25;45.270
2;982;PTCC;P;2019-06-14T16:13:15.510000Z;266.46;103.12;29.026
2;982;PTCC;S;2019-06-14T16:13:19.730000Z;266.46;103.12;29.026
2;982;PURA;P;2019-06-14T16:13:14.210000Z;101.43;108.97;20.366
2;982;PURA;S;2019-06-14T16:13:17.250000Z;101.43;108.97;20.366
2;982;SABO;P;2019-06-14T16:13:21.940000Z;312.20;95.35;67.436
2;982;STAL;P;2019-06-14T16:13:15.070000Z;55.55;104.31;26.665
2;982;STAL;S;2019-06-14T16:13:18.720000Z;55.55;104.31;26.665
2;982;VINO;P;2019-06-14T16:13:15.270000Z;303.71;103.63;27.953
2;982;VINO;S;2019-06-14T16:13:19.130000Z;303.71;103.63;27.953
2;982;ZOU2;P;2019-06-14T16:13:14.020000Z;176.59;109.52;19.764
2;982;ZOU2;S;2019-06-14T16:13:16.720000Z;176.59;109.52;19.764
3;994;ACOM;P;2019-06-15T04:12:54.300000Z;247.37;98.87;44.567
3;994;ACOM;S;2019-06-15T04:13:00.590000Z;247.37;98.87;44.567
3;994;AGOR;P;2019-06-15T04:13:00.030000Z;79.95;95.14;73.717
3;994;APGO;P;2019-06-15T04:12:56.330000Z;60.48;97.01;55.570
3;994;BAD;P;2019-06-15T04:12:51.350000Z;312.07;104.63;27.544
3;994;BAD;S;2019-06-15T04:12:54.900000Z;312.07;104.63;27.544
3;994;BOO;P;2019-06-15T04:12:49.050000Z;314.08;120.33;13.858
3;994;BOO;S;2019-06-15T04:12:50.690000Z;314.08;120.33;13.858
3;994;BUA;P;2019-06-15T04:12:50.800000Z;332.09;107.30;23.420
3;994;BUA;S;2019-06-15T04:12:53.910000Z;332.09;107.30;23.420
3;994;CAE;P;2019-06-15T04:12:57.250000Z;44.49;96.36;60.641
3;994;CIMO;P;2019-06-15T04:12:53.820000Z;77.37;99.15;43.280
3;994;CIMO;S;2019-06-15T04:12:59.920000Z;77.37;99.15;43.280
3;994;CLUD;P;2019-06-15T04:12:48.880000Z;130.65;123.26;12.765
3;994;CLUD;S;2019-06-15T04:12:50.480000Z;130.65;123.26;12.765
3;994;COLI;P;2019-06-15T04:12:54.020000Z;314.22;99.32;42.464
3;994;COLI;S;2019-06-15T04:12:59.780000Z;314.22;99.32;42.464
3;994;CSM;P;2019-06-15T04:12:51.870000Z;116.91;103.52;29.746
3;994;CSM;S;2019-06-15T04:12:55.890000Z;116.91;103.52;29.746
3;994;CSO;P;2019-06-15T04:12:55.780000Z;74.91;97.33;53.345
3;994;DRE;P;2019-06-15T04:12:56.510000Z;296.07;96.84;56.800
3;994;FUSE;P;2019-06-15T04:12:47.440000Z;206.60;160.54;7.424
3;994;GEPF;P;2019-06-15T04:12:49.930000Z;318.62;111.57;18.997
3;994;GEPF;S;2019-06-15T04:12:53.760000Z;318.62;111.57;18.997
3;994;LSR;P;2019-06-15T04:12:54.190000Z;258.00;99.20;43.048
3;994;LSR;S;2019-06-15T04:13:00.360000Z;258.00;99.20;43.048
3;994;MLN;P;2019-06-15T04:12:53.600000Z;46.31;99.90;40.107
3;994;MPRI;P;2019-06-15T04:12:49.940000Z;359.74;112.23;18.443
3;994;MPRI;S;2019-06-15T04:12:52.530000Z;359.74;112.23;18.443
3;994;MTLO;P;2019-06-15T04:13:03.270000Z;46.44;93.83;94.471
3;994;PLRO;P;2019-06-15T04:12:50.520000Z;215.83;108.19;22.333
3;994;PLRO;S;2019-06-15T04:12:53.720000Z;215.83;108.19;22.333
3;994;POLC;P;2019-06-15T04:12:56.630000Z;42.38;96.95;55.921
3;994;PRED;P;2019-06-15T04:12:54.560000Z;263.30;98.71;45.327
3;994;PRED;S;2019-06-15T04:13:00.960000Z;263.30;98.71;45.327
3;994;PTCC;P;2019-06-15T04:12:51.650000Z;267.16;103.82;29.137
3;994;PTCC;S;2019-06-15T04:12:55.840000Z;267.16;103.82;29.137
3;994;PURA;P;2019-06-15T04:12:50.100000Z;100.45;110.06;20.385
3;994;PURA;S;2019-06-15T04:12:53.330000Z;100.45;110.06;20.385
3;994;SABO;P;2019-06-15T04:12:58.200000Z;312.39;95.63;67.736
3;994;STAL;P;2019-06-15T04:12:51.270000Z;54.87;104.99;26.911
3;994;TRI;P;2019-06-15T04:13:03.560000Z;321.97;93.70;97.323
3;994;VARN;P;2019-06-15T04:13:00.470000Z;56.47;94.55;81.670
3;994;VINO;P;2019-06-15T04:12:51.460000Z;304.26;104.25;28.266
3;994;VINO;S;2019-06-15T04:12:55.310000Z;304.26;104.25;28.266
3;994;ZOU2;P;2019-06-15T04:12:50.150000Z;176.67;110.89;19.567
3;994;ZOU2;S;2019-06-15T04:12:52.830000Z;176.67;110.89;19.567
4;1019;ACOM;P;2019-06-16T13:41:03.730000Z;247.18;99.72;44.562
4;1019;ACOM;S;2019-06-16T13:41:09.480000Z;247.18;99.72;44.562
4;1019;APGO;P;2019-06-16T13:41:05.010000Z;60.64;97.66;55.753
4;1019;APGO;S;2019-06-16T13:41:13.250000Z;60.64;97.66;55.753
4;1019;BAD;P;2019-06-16T13:41:00.330000Z;312.16;106.04;27.543
4;1019;BAD;S;2019-06-16T13:41:04.120000Z;312.16;106.04;27.543
4;1019;BOO;P;2019-06-16T13:40:58.000000Z;314.32;122.99;14.048
4;1019;BOO;S;2019-06-16T13:40:59.820000Z;314.32;122.99;14.048
4;1019;BUA;P;2019-06-16T13:40:59.760000Z;332.35;108.93;23.477
4;1019;BUA;S;2019-06-16T13:41:03.110000Z;332.35;108.93;23.477
4;1019;CAE;P;2019-06-16T13:41:06.130000Z;44.65;96.97;60.770
4;1019;CIMO;P;2019-06-16T13:41:02.880000Z;77.54;99.96;43.527
4;1019;CIMO;S;2019-06-16T13:41:08.830000Z;77.54;99.96;43.527
4;1019;CLUD;P;2019-06-16T13:40:57.890000Z;130.45;125.18;13.279
4;1019;CLUD;S;2019-06-16T13:40:59.620000Z;130.45;125.18;13.279
4;1019;COLI;P;2019-06-16T13:41:03.000000Z;314.28;100.22;42.401
4;1019;COLI;S;2019-06-16T13:41:08.680000Z;314.28;100.22;42.401
4;1019;CSM;P;2019-06-16T13:41:00.910000Z;116.92;104.64;30.084
4;1019;CSM;S;2019-06-16T13:41:05.160000Z;116.92;104.64;30.084
4;1019;CSO;P;2019-06-16T13:41:04.540000Z;75.05;98.00;53.567
4;1019;CSO;S;2019-06-16T13:41:11.620000Z;75.05;98.00;53.567
4;1019;DRE;P;2019-06-16T13:41:05.070000Z;296.06;97.52;56.701
4;1019;FUSE;P;2019-06-16T13:40:56.470000Z;202.35;161.99;8.044
4;1019;FVI;P;2019-06-16T13:41:00.540000Z;144.60;105.36;28.707
4;1019;FVI;S;2019-06-16T13:41:04.340000Z;144.60;105.36;28.707
4;1019;GEPF;P;2019-06-16T13:40:58.920000Z;318.82;113.59;19.087
4;1019;GEPF;S;2019-06-16T13:41:01.400000Z;318.82;113.59;19.087
4;1019;LSR;P;2019-06-16T13:41:03.180000Z;257.84;100.08;43.022
4;1019;LSR;S;2019-06-16T13:41:08.890000Z;257.84;100.08;43.022
4;1019;MLN;P;2019-06-16T13:41:02.570000Z;46.57;100.79;40.281
4;1019;MLN;S;2019-06-16T13:41:07.980000Z;46.57;100.79;40.281
4;1019;MPRI;P;2019-06-16T13:40:58.910000Z;0.29;114.19;18.618
4;1019;MPRI;S;2019-06-16T13:41:01.540000Z;0.29;114.19;18.618
4;1019;MTLO;P;2019-06-16T13:41:12.390000Z;46.54;94.23;94.579
4;1019;PLRO;P;2019-06-16T13:40:59.520000Z;215.33;109.78;22.525
4;1019;PLRO;S;2019-06-16T13:41:02.610000Z;215.33;109.78;22.525
4;1019;POLC;P;2019-06-16T13:41:05.680000Z;42.56;97.61;56.051
4;1019;PRED;P;2019-06-16T13:41:03.420000Z;263.16;99.56;45.285
4;1019;PRED;S;2019-06-16T13:41:09.700000Z;263.16;99.56;45.285
4;1019;PTCC;P;2019-06-16T13:41:00.670000Z;266.96;105.14;29.150
4;1019;PTCC;S;2019-06-16T13:41:04.750000Z;266.96;105.14;29.150
4;1019;PURA;P;2019-06-16T13:40:59.350000Z;100.62;111.58;20.780
4;1019;PURA;S;2019-06-16T13:41:02.160000Z;100.62;111.58;20.780
