net;sta;slat;slon;selev
OX;ACOM;46.5479;13.5149;1715.0
OX;AGOR;46.2829;12.0472;631.0
OX;APGO;46.1516;12.363;598.0
OX;BAD;46.234;13.2438;590.0
OX;BOO;46.3195;13.0984;444.0
OX;BUA;46.2167;13.1227;320.0
OX;CAE;46.009;12.4379;870.0
OX;CEKR;45.8492;11.5685;1365.0
OX;CGRP;45.8806;11.8047;1757.0
OX;CIMO;46.3116;12.4448;710.0
OX;CLUD;46.4569;12.8814;635.0
OX;COLI;46.1322;13.377;250.0
OX;CSM;46.5125;12.6515;1635.0
OX;CSO;46.2724;12.3228;1060.0
IV;CTI;46.04818;11.6497;1180.0
OX;DRE;46.1733;13.645;810.0
NI;DST2;45.6589;13.8013;80.0
OX;FUSE;46.4142;13.0011;520.0
IV;FVI;46.59658;12.7804;1024.0
RF;GEPF;46.2752;13.1385;255.0
OX;IESO;45.5178;12.5464;0.0
OX;LSR;46.475;13.5269;1755.0
OX;MLN;46.1495;12.6154;814.0
OX;MPRI;46.2408;12.9877;762.0
OX;MTLO;45.8136;12.0991;350.0
OX;PLRO;46.5491;13.1481;1410.0
NI;POLC;46.0266;12.5005;150.0
OX;PRED;46.4428;13.565;902.0
IV;PTCC;46.4075;13.354;700.0
NI;PURA;46.4258;12.7419;1420.0
OX;SABO;45.9875;13.6337;575.0
IV;STAL;46.2601;12.7104;625.0
OX;STIN;45.7148;12.7718;1.0
MN;TRI;45.709;13.7642;161.0
OX;VARN;45.9933;12.1048;1265.0
NI;VINO;46.256;13.281;608.0
OX;ZOU2;46.5584;12.9729;1911.0
