net;sta;slat;slon;nevassoc
OX;BAD;46.234;13.2438;12
OX;BOO;46.3195;13.0984;12
OX;BUA;46.2167;13.1227;12
OX;CLUD;46.4569;12.8814;12
IV;FVI;46.59658;12.7804;3
RF;GEPF;46.2752;13.1385;12
OX;MLN;46.1495;12.6154;9
OX;MPRI;46.2408;12.9877;12
OX;PLRO;46.5491;13.1481;12
IV;PTCC;46.4075;13.354;11
NI;VINO;46.256;13.281;12
OX;ZOU2;46.5584;12.9729;11
OX;ACOM;46.5479;13.5149;9
OX;CIMO;46.3116;12.4448;6
OX;COLI;46.1322;13.377;9
OX;CSM;46.5125;12.6515;9
OX;LSR;46.475;13.5269;9
NI;PURA;46.4258;12.7419;10
IV;STAL;46.2601;12.7104;6
OX;PRED;46.4428;13.565;4
OX;APGO;46.1516;12.363;3
OX;CSO;46.2724;12.3228;4
OX;FUSE;46.4142;13.0011;7
